target,horizon,model,is_champion,champion,origin_pos,origin_date,forecast_pos,point_forecast,lower,lower_unclipped,clipped_at_zero,upper,interval_width,n_residuals,interval_sufficient,interval_note,nominal_coverage,train_start_pos,train_n_positions
Children in HHS Care,1,sarima,False,naive,768,2025-12-21,769,2489.227053611555,2451.959322062315,2451.959322062315,False,2495.3561271959315,43.39680513361645,15,True,,0.95,540,229
Children in HHS Care,1,seasonal_naive,False,naive,768,2025-12-21,769,2470.0,2263.85,2263.85,False,2522.9,259.0500000000002,15,True,,0.95,540,229
Children in HHS Care,7,naive,True,naive,768,2025-12-21,775,2484.0,2328.975,2328.975,False,2558.675,229.70000000000027,14,True,,0.95,540,229
Children in HHS Care,7,ensemble,False,naive,768,2025-12-21,775,2456.111804979534,2096.1614335657323,2096.1614335657323,False,2548.1883430974203,452.02690953168803,14,True,,0.95,540,229
Children in HHS Care,7,exponential_smoothing,False,naive,768,2025-12-21,775,2490.0463954472434,2339.84083474047,2339.84083474047,False,2536.3912421183286,196.5504073778584,14,True,,0.95,540,229
Children in HHS Care,7,gradient_boosting,False,naive,768,2025-12-21,775,2501.0223460921884,1735.4747364042137,1735.4747364042137,False,2631.5154640209,896.0407276166861,14,True,,0.95,540,229
Children in HHS Care,7,moving_average,False,naive,768,2025-12-21,775,2467.714285714286,2193.6607142857147,2193.6607142857147,False,2575.607142857143,381.94642857142844,14,True,,0.95,540,229
Children in HHS Care,7,random_forest,False,naive,768,2025-12-21,775,2422.1772145118252,1715.0217687907616,1715.0217687907616,False,2576.417577865109,861.3958090743472,14,True,,0.95,540,229
Children in HHS Care,7,sarima,False,naive,768,2025-12-21,775,2505.719213944132,2429.7785477281486,2429.7785477281486,False,2653.4986729322395,223.7201252040909,14,True,,0.95,540,229
Children in HHS Care,7,seasonal_naive,False,naive,768,2025-12-21,775,2468.0,2168.025,2168.025,False,2591.55,423.5250000000001,14,True,,0.95,540,229
Children in HHS Care,14,naive,True,naive,768,2025-12-21,782,2484.0,2112.0,2112.0,False,2618.05,506.0500000000002,14,True,,0.95,540,229
Children in HHS Care,14,ensemble,False,naive,768,2025-12-21,782,2452.1206196159746,1881.7654282891447,1881.7654282891447,False,2606.396143628517,724.6307153393725,14,True,,0.95,540,229
Children in HHS Care,14,exponential_smoothing,False,naive,768,2025-12-21,782,2478.0830086917917,2241.719790946533,2241.719790946533,False,2661.4192915696167,419.6995006230836,14,True,,0.95,540,229
Children in HHS Care,14,gradient_boosting,False,naive,768,2025-12-21,782,2482.6092663573795,970.4001290484614,970.4001290484614,False,2710.577103600784,1740.1769745523227,14,True,,0.95,540,229
Children in HHS Care,14,moving_average,False,naive,768,2025-12-21,782,2467.714285714286,1991.9178571428572,1991.9178571428572,False,2632.010714285714,640.0928571428569,14,True,,0.95,540,229
Children in HHS Care,14,random_forest,False,naive,768,2025-12-21,782,2426.158230540158,1211.0529742674107,1211.0529742674107,False,2634.102224709949,1423.0492504425383,14,True,,0.95,540,229
Children in HHS Care,14,sarima,False,naive,768,2025-12-21,782,2526.2031161741647,2352.237389154347,2352.237389154347,False,3151.0895904952295,798.8522013408824,14,True,,0.95,540,229
Children in HHS Care,14,seasonal_naive,False,naive,768,2025-12-21,782,2472.0,2098.475,2098.475,False,2613.05,514.5750000000003,14,True,,0.95,540,229
