fold_scope,target,model,window_rule,horizon,n_scored,n_total,n_missing_actual,n_missing_pred,n_zero_actual_excluded_from_mape,MAE,RMSE,MAPE,sMAPE,MASE,ME_bias,n_excluded_interpolated_actual,n_folds,n_gap_contaminated_folds
all_dev_folds,Children discharged from HHS Care,exponential_smoothing,capped,1,65,65,0,0,0,26.770395358422288,38.39606844116974,16.25061715991364,16.219396547805697,0.7085216522635484,-5.7743520927676055,0,65,3
all_dev_folds,Children discharged from HHS Care,exponential_smoothing,capped,7,57,57,0,0,0,40.571685971689305,55.225152132073795,37.683734393931395,28.518708629912187,1.0820029661471602,0.47071739940380997,0,65,3
all_dev_folds,Children discharged from HHS Care,exponential_smoothing,capped,14,63,63,0,0,0,33.2370089871235,44.894542097880695,46.95135294752129,33.93875632857826,0.8842970368978977,12.883406697234442,0,65,3
all_dev_folds,Children discharged from HHS Care,exponential_smoothing,full,1,65,65,0,0,0,26.801458555725862,38.39439189458007,16.563133474615793,16.52980469587212,0.7093789565693728,-5.7383868424718685,0,65,3
all_dev_folds,Children discharged from HHS Care,exponential_smoothing,full,7,57,57,0,0,0,40.50671223801551,55.22924053687827,37.08294919495177,27.868888506624522,1.080050689264709,0.41735075535057586,0,65,3
all_dev_folds,Children discharged from HHS Care,exponential_smoothing,full,14,63,63,0,0,0,33.10862849737456,44.86092125935364,46.92970054816723,32.30248445266841,0.8803805486191828,13.017906039410471,0,65,3
all_dev_folds,Children discharged from HHS Care,gradient_boosting,capped,1,65,65,0,0,0,26.457162487490343,36.8134941551177,22.24825577754565,18.063718728009036,0.6981470567668455,2.941550236540579,0,65,3
all_dev_folds,Children discharged from HHS Care,gradient_boosting,capped,7,57,57,0,0,0,34.34780218377689,43.86560612470801,50.14863008779279,29.053431405035184,0.918110005181599,8.820954111365445,0,65,3
all_dev_folds,Children discharged from HHS Care,gradient_boosting,capped,14,63,63,0,0,0,38.0707712863891,51.25136360399685,53.72515896956003,31.826398468414148,1.013085469485053,20.823230266041687,0,65,3
all_dev_folds,Children discharged from HHS Care,gradient_boosting,full,1,65,65,0,0,0,26.34758935310908,36.78578595705959,21.230749094183945,17.91691137225426,0.694728475760882,2.5210838179084383,0,65,3
all_dev_folds,Children discharged from HHS Care,gradient_boosting,full,7,57,57,0,0,0,34.202850830125755,43.79493329999083,49.727393990565126,28.271487153314816,0.9133493644376276,8.798991306560556,0,65,3
all_dev_folds,Children discharged from HHS Care,gradient_boosting,full,14,63,63,0,0,0,38.364224625957284,51.28555765475138,57.59498748659204,34.135619661911875,1.022270325924461,21.16068678868532,0,65,3
all_dev_folds,Children discharged from HHS Care,moving_average,capped,1,65,65,0,0,0,34.57472527472528,47.96073792902553,19.64413849781766,18.923021290629226,0.9185199300896038,-25.73003663003663,0,65,3
all_dev_folds,Children discharged from HHS Care,moving_average,capped,7,57,57,0,0,0,45.56641604010025,64.06838942327454,36.821284710781015,30.099560890339955,1.2028705753449236,-38.45279866332498,0,65,3
all_dev_folds,Children discharged from HHS Care,moving_average,capped,14,63,63,0,0,0,41.33862433862434,58.37757804992969,53.80517967864539,33.69695541382929,1.0839060921846575,35.77475434618291,0,65,3
all_dev_folds,Children discharged from HHS Care,moving_average,full,1,65,65,0,0,0,34.57472527472528,47.96073792902553,19.64413849781766,18.923021290629226,0.9185199300896038,-25.73003663003663,0,65,3
all_dev_folds,Children discharged from HHS Care,moving_average,full,7,57,57,0,0,0,45.56641604010025,64.06838942327454,36.821284710781015,30.099560890339955,1.2028705753449236,-38.45279866332498,0,65,3
all_dev_folds,Children discharged from HHS Care,moving_average,full,14,63,63,0,0,0,41.33862433862434,58.37757804992969,53.80517967864539,33.69695541382929,1.0839060921846575,35.77475434618291,0,65,3
all_dev_folds,Children discharged from HHS Care,naive,capped,1,65,65,0,0,0,39.63076923076923,54.00028489953335,25.241945137640997,24.697321593750832,1.0508233641066458,-36.15384615384615,0,65,3
all_dev_folds,Children discharged from HHS Care,naive,capped,7,57,57,0,0,0,51.56140350877193,70.4605152587342,38.89941176670952,36.16653515203734,1.3597895971775196,-49.45614035087719,0,65,3
all_dev_folds,Children discharged from HHS Care,naive,capped,14,63,63,0,0,0,39.06349206349206,54.640963760121586,51.71451971556576,35.006037220306695,1.0266391312878138,24.96825396825397,0,65,3
all_dev_folds,Children discharged from HHS Care,naive,full,1,65,65,0,0,0,39.63076923076923,54.00028489953335,25.241945137640997,24.697321593750832,1.0508233641066458,-36.15384615384615,0,65,3
all_dev_folds,Children discharged from HHS Care,naive,full,7,57,57,0,0,0,51.56140350877193,70.4605152587342,38.89941176670952,36.16653515203734,1.3597895971775196,-49.45614035087719,0,65,3
all_dev_folds,Children discharged from HHS Care,naive,full,14,63,63,0,0,0,39.06349206349206,54.640963760121586,51.71451971556576,35.006037220306695,1.0266391312878138,24.96825396825397,0,65,3
all_dev_folds,Children discharged from HHS Care,random_forest,capped,1,63,65,0,2,0,29.126144287628488,42.20544479245387,25.06972103439847,18.76914412378143,0.7731203471826343,-3.089552220707113,0,65,3
all_dev_folds,Children discharged from HHS Care,random_forest,capped,7,54,57,0,3,0,39.70442716476024,52.662736464686446,47.59235874126805,29.70946389423674,1.0569951933439745,-12.29598989415725,0,65,3
all_dev_folds,Children discharged from HHS Care,random_forest,capped,14,60,63,0,3,0,47.67792703258725,63.849154654025114,67.93272174992022,39.2088132355971,1.2550425469342328,39.22244731563479,0,65,3
all_dev_folds,Children discharged from HHS Care,random_forest,full,1,63,65,0,2,0,29.791088997924316,42.33337436095718,30.957765216399487,22.018906243557506,0.794270789186663,-2.38960837321773,0,65,3
all_dev_folds,Children discharged from HHS Care,random_forest,full,7,54,57,0,3,0,39.576684186007114,52.621755821205234,47.074967037175,28.292883893129854,1.0528928963810642,-11.632006629922573,0,65,3
all_dev_folds,Children discharged from HHS Care,random_forest,full,14,60,63,0,3,0,48.304658865120594,63.97773358065757,77.09145470711928,41.611743159112834,1.2752527211691744,40.00493135771038,0,65,3
all_dev_folds,Children discharged from HHS Care,sarima,capped,1,65,65,0,0,0,24.45809187525234,33.70256333097132,20.29811226697535,22.735370617028646,0.6496574131252011,12.062638690600387,0,65,3
all_dev_folds,Children discharged from HHS Care,sarima,capped,7,57,57,0,0,0,36.422595099749955,45.569830208795786,38.93676847124593,35.92653748974192,0.9752749061550513,8.656820545529014,0,65,3
all_dev_folds,Children discharged from HHS Care,sarima,capped,14,63,63,0,0,0,36.471568615003,46.123734263542296,84.11304705527482,58.052232365859716,0.9746957074660203,-1.6818043642735645,0,65,3
all_dev_folds,Children discharged from HHS Care,sarima,full,1,65,65,0,0,0,24.19916313804004,33.68050135107838,18.538110777301043,20.979275880180612,0.6414626629514483,12.027949983655823,0,65,3
all_dev_folds,Children discharged from HHS Care,sarima,full,7,57,57,0,0,0,35.964906558613436,45.43656930349493,35.403482153255595,31.451889538073306,0.9608034707019933,8.776596629445315,0,65,3
all_dev_folds,Children discharged from HHS Care,sarima,full,14,63,63,0,0,0,35.538329046774955,45.84757591986789,73.01721007893036,50.526421022881685,0.9451893850317854,-1.033745847805678,0,65,3
all_dev_folds,Children discharged from HHS Care,seasonal_naive,capped,1,62,65,0,3,0,33.62903225806452,48.22310381897337,23.129551468892632,19.52477973594625,0.8844623580676295,14.629032258064516,0,65,3
all_dev_folds,Children discharged from HHS Care,seasonal_naive,capped,7,49,57,0,8,0,34.30612244897959,47.26672039757844,40.89502727158602,27.585663048662347,0.919705114981686,9.204081632653061,0,65,3
all_dev_folds,Children discharged from HHS Care,seasonal_naive,capped,14,61,63,0,2,0,32.68852459016394,43.343840676504016,35.91372753115164,29.82457376249507,0.866987208440349,5.934426229508197,0,65,3
all_dev_folds,Children discharged from HHS Care,seasonal_naive,full,1,62,65,0,3,0,33.62903225806452,48.22310381897337,23.129551468892632,19.52477973594625,0.8844623580676295,14.629032258064516,0,65,3
all_dev_folds,Children discharged from HHS Care,seasonal_naive,full,7,49,57,0,8,0,34.30612244897959,47.26672039757844,40.89502727158602,27.585663048662347,0.919705114981686,9.204081632653061,0,65,3
all_dev_folds,Children discharged from HHS Care,seasonal_naive,full,14,61,63,0,2,0,32.68852459016394,43.343840676504016,35.91372753115164,29.82457376249507,0.866987208440349,5.934426229508197,0,65,3
all_dev_folds,Children in HHS Care,exponential_smoothing,capped,1,65,65,0,0,0,48.9906201551736,65.30981466894812,0.8395048353285065,0.8374099989215846,0.163835039810351,-14.870738626687366,0,65,3
all_dev_folds,Children in HHS Care,exponential_smoothing,capped,7,57,57,0,0,0,294.7375578327108,410.7555864293231,4.571303926399819,4.5460870272646146,0.9934773804413853,5.623971387009808,8,65,3
all_dev_folds,Children in HHS Care,exponential_smoothing,capped,14,63,63,0,0,0,518.0877016648253,755.2359048139864,8.422732032972274,8.036062868780656,1.7281180846004187,85.24084895128141,2,65,3
all_dev_folds,Children in HHS Care,exponential_smoothing,full,1,65,65,0,0,0,51.879573114080515,66.80199934711882,0.9579597375883037,0.9553425871817413,0.1743934981481988,-14.587321609127534,0,65,3
all_dev_folds,Children in HHS Care,exponential_smoothing,full,7,57,57,0,0,0,299.2894289120597,411.8792312323777,4.758098807862413,4.7242682317197975,1.0102513436582834,12.057621337519908,8,65,3
all_dev_folds,Children in HHS Care,exponential_smoothing,full,14,63,63,0,0,0,518.2275279236355,755.792644098908,8.428202573164414,8.026018403955883,1.7288282466879246,92.09342544164888,2,65,3
all_dev_folds,Children in HHS Care,gradient_boosting,capped,1,65,65,0,0,0,107.49386633671695,140.60096170183405,1.6827479395324128,1.6713240836419219,0.35359254663330014,-1.4790480617806154,0,65,3
all_dev_folds,Children in HHS Care,gradient_boosting,capped,7,57,57,0,0,0,612.2547611898935,891.4814115763577,11.513073220022589,10.27597970979061,2.022914205557347,323.2959797025396,8,65,3
all_dev_folds,Children in HHS Care,gradient_boosting,capped,14,63,63,0,0,0,1066.4669523108585,1424.731201950733,20.822316450979574,17.496244824371498,3.4650654278546305,581.7876410564243,2,65,3
all_dev_folds,Children in HHS Care,gradient_boosting,full,1,65,65,0,0,0,108.62787528824984,140.40735769108954,1.7456601981593718,1.7342491431184703,0.35820630552758126,-0.9730703927614006,0,65,3
all_dev_folds,Children in HHS Care,gradient_boosting,full,7,57,57,0,0,0,616.5006664164285,892.2488706139956,11.717468966390076,10.467097554997645,2.039648867571394,327.18219655013377,8,65,3
all_dev_folds,Children in HHS Care,gradient_boosting,full,14,63,63,0,0,0,1101.8076752305224,1440.7190847357324,22.297473687687074,18.63595344177002,3.598461331385827,631.8821896631284,2,65,3
all_dev_folds,Children in HHS Care,moving_average,capped,1,65,65,0,0,0,178.5538461538461,258.9071804729852,2.6896800278773654,2.664822470492763,0.5750441307796633,-28.030769230769245,0,65,3
all_dev_folds,Children in HHS Care,moving_average,capped,7,57,57,0,0,0,468.7919799498747,673.6049040602941,7.729967427103723,7.335565160089253,1.5376060313294646,171.20802005012524,8,65,3
all_dev_folds,Children in HHS Care,moving_average,capped,14,63,63,0,0,0,670.0566893424036,954.4504218186248,11.711385762676228,10.72723067606592,2.1996402918149767,194.59183673469386,2,65,3
all_dev_folds,Children in HHS Care,moving_average,full,1,65,65,0,0,0,178.5538461538461,258.9071804729852,2.6896800278773654,2.664822470492763,0.5750441307796633,-28.030769230769245,0,65,3
all_dev_folds,Children in HHS Care,moving_average,full,7,57,57,0,0,0,468.7919799498747,673.6049040602941,7.729967427103723,7.335565160089253,1.5376060313294646,171.20802005012524,8,65,3
all_dev_folds,Children in HHS Care,moving_average,full,14,63,63,0,0,0,670.0566893424036,954.4504218186248,11.711385762676228,10.72723067606592,2.1996402918149767,194.59183673469386,2,65,3
all_dev_folds,Children in HHS Care,naive,capped,1,65,65,0,0,0,48.23076923076923,74.03543849972223,0.6991525346042161,0.6991361017894132,0.15748847351931633,-11.953846153846154,0,65,3
all_dev_folds,Children in HHS Care,naive,capped,7,57,57,0,0,0,382.6140350877193,543.3166987013369,6.075135303754766,5.845008642390194,1.27412143267644,174.2280701754386,8,65,3
all_dev_folds,Children in HHS Care,naive,capped,14,63,63,0,0,0,602.5079365079365,859.8263390553544,10.357597579130319,9.580322343947904,2.0029117999472166,203.65079365079364,2,65,3
all_dev_folds,Children in HHS Care,naive,full,1,65,65,0,0,0,48.23076923076923,74.03543849972223,0.6991525346042161,0.6991361017894132,0.15748847351931633,-11.953846153846154,0,65,3
all_dev_folds,Children in HHS Care,naive,full,7,57,57,0,0,0,382.6140350877193,543.3166987013369,6.075135303754766,5.845008642390194,1.27412143267644,174.2280701754386,8,65,3
all_dev_folds,Children in HHS Care,naive,full,14,63,63,0,0,0,602.5079365079365,859.8263390553544,10.357597579130319,9.580322343947904,2.0029117999472166,203.65079365079364,2,65,3
all_dev_folds,Children in HHS Care,random_forest,capped,1,63,65,0,2,0,295.0184494907781,435.5659156194035,4.79877486634575,4.6712669532732605,0.9446799416921687,9.990519650640968,0,65,3
all_dev_folds,Children in HHS Care,random_forest,capped,7,55,57,0,2,0,658.2447048573447,881.7372069053889,11.882464400464311,10.822823394895474,2.126099564833837,307.97195530080313,8,65,3
all_dev_folds,Children in HHS Care,random_forest,capped,14,60,63,0,3,0,1036.213602914008,1380.6945680440083,19.107317864044745,16.535140737942736,3.3202365625391486,390.66184675372307,2,65,3
all_dev_folds,Children in HHS Care,random_forest,full,1,63,65,0,2,0,302.8891722374078,439.88045622180124,5.193783428896168,5.0208841414303,0.9765499123827133,22.97129610418384,0,65,3
